report_date,cookie_id,customer_id,ga_session_id,event_timestamp,event_name,event_value
2023-12-06,1884972372.1625530407,12082,1701882982,2023/12/06/09/19/07,Event - Product View,VITESSENCE™​ Pulse 1550 Pea Protein by Ingredion ||| 41139-INGREDIONCAN-99999
2023-12-06,1884972372.1625530407,12082,1701882982,2023/12/06/09/20/00,Event - Product View,Pea Protein Isolate 80% (Organic) by Yosin ||| 41125-YOSIN-11806
2023-12-06,1884972372.1625530407,12082,1701882982,2023/12/06/09/46/13,Event - Product View,Pea Protein Isolate YW800B by Yuwang Eco. ||| 107968-YUWANG-11618
2023-12-06,1884972372.1625530407,12082,1701882982,2023/12/06/09/46/40,Event - Product View,Organic Pea protein 80% Powder by Qimei ||| 41125-QIMEI-11712
2023-12-06,1884972372.1625530407,12082,1701888217,2023/12/06/10/45/45,Event - Product View,MCT Oil Powder 70% on Gum Arabic by Connoils ||| 89419-CONNOILS-99999
2023-12-06,1884972372.1625530407,12082,1701888217,2023/12/06/11/18/40,Event - Product View,Guar Gum Powder 235F by Neelkanth Polymers ||| 33760-NEEPO-11573
2023-12-06,1884972372.1625530407,12082,1701888217,2023/12/06/11/19/20,Event - Product View,Guar Gum Powder 270F by Neelkanth Polymers ||| 33763-NEEPO-11573
2023-12-06,1366693949.1691780059,12082,1701879012,2023/12/06/08/21/38,Event - Product View,Microcrystalline Cellulose (MCC 102 Flash Dried) by Sunhere ||| 33805-SUNHERE-99999
2023-12-06,1366693949.1691780059,12082,1701879012,2023/12/06/08/22/39,Event - Product View,Microcrystalline Cellulose (MCC 102 Flash Dried) by Sunhere ||| 33805-SUNHERE-99999
2023-12-06,1366693949.1691780059,12082,1701879012,2023/12/06/08/23/48,Event - Product View,Silicon Dioxide by Sunhere ||| 84900-SUNHERE-11648
2023-12-06,1366693949.1691780059,12082,1701879012,2023/12/06/08/24/16,Event - Product View,Citric Acid USP 30-100 Mesh (From Cassava) by Sunshine ||| 63800-SUNSHINE-10062
2023-12-06,1884972372.1625530407,12082,1701882982,2023/12/06/09/16/52,Event - Product View,Pea Protein Isolate 80% by Yosin ||| 41121-YOSIN-11806
2023-12-06,1884972372.1625530407,12082,1701882982,2023/12/06/09/18/14,Event - Product View,VITESSENCE® Prista P 155 Pea Protein by Ingredion ||| 41142-INGREDIONCAN-99999
2023-12-06,1884972372.1625530407,12082,1701882982,2023/12/06/09/48/20,Event - Product View,Organic Pea protein 80% Powder by Qimei ||| 41125-QIMEI-11712
2023-12-06,1884972372.1625530407,12082,1701882982,2023/12/06/09/48/45,Event - Product View,Pea Starch (Organic) by Yosin ||| 105994-YOSIN-11806
2023-12-06,1884972372.1625530407,12082,1701882982,2023/12/06/09/50/20,Event - Product View,Organic Pea protein 80% Powder by Qimei ||| 41125-QIMEI-11712
2023-12-06,1884972372.1625530407,12082,1701882982,2023/12/06/09/50/28,Event - Product View,Pea Protein Isolate YW800A by Yuwang Eco. ||| 107966-YUWANG-11618
2023-12-06,1884972372.1625530407,12082,1701882982,2023/12/06/09/53/03,Event - Product View,Pea Protein Isolate 85% by Yosin ||| 41122-YOSIN-11806
2023-12-06,1884972372.1625530407,12082,1701882982,2023/12/06/09/55/29,Event - Product View,Organic Pea protein 80% Powder by Qimei ||| 41125-QIMEI-11712
2023-12-06,1884972372.1625530407,12082,1701888217,2023/12/06/10/45/09,Event - Product View,MCT Oil Powder 70% on Gum Arabic by Connoils ||| 89419-CONNOILS-99999
2023-12-06,1884972372.1625530407,12082,1701888217,2023/12/06/11/25/50,Event - Product View,Guar Gum Powder 260F by Neelkanth Polymers ||| 33762-NEEPO-11573
2023-12-06,1884972372.1625530407,12082,1701888217,2023/12/06/11/29/01,Event - Product View,Soy Protein Isolate 90% (YP928C) by Yuwang Eco. ||| 41130-YUWANG-11618
2023-12-06,1884972372.1625530407,12082,1701888217,2023/12/06/11/29/47,Event - Product View,Soy Protein Isolate 90% (YP901B) by Yuwang Eco. ||| 41134-YUWANG-11618
2023-12-06,1884972372.1625530407,12082,1701888217,2023/12/06/11/30/25,Event - Product View,Soy Protein Isolate 90% (YP928Z) by Yuwang Eco. ||| 41131-YUWANG-11618
2023-12-06,1884972372.1625530407,12082,1701888217,2023/12/06/11/30/45,Event - Product View,Soy Protein Isolate 90% (YP928C) by Yuwang Eco. ||| 41130-YUWANG-11618
2023-12-06,1884972372.1625530407,12082,1701900357,2023/12/06/14/10/56,Event - Product View,Organic Cane Sugar by Suzanne's Specialties ||| 109401-000-11117-66755
2023-12-06,1884972372.1625530407,12082,1701900357,2023/12/06/14/14/46,Event - Product View,Soy Protein Isolate 90% (YP928C) by Yuwang Eco. ||| 41130-YUWANG-11618
2023-12-06,1884972372.1625530407,12082,1701900357,2023/12/06/14/16/55,Event - Product View,Soy Protein Isolate 90% (YP901B) by Yuwang Eco. ||| 41134-YUWANG-11618
2023-12-06,1884972372.1625530407,12082,1701900357,2023/12/06/14/17/15,Event - Product View,Soy Protein Isolate 90% (YP928C) by Yuwang Eco. ||| 41130-YUWANG-11618
2023-12-06,27681654.1685374719,12082,1701877345,2023/12/06/07/43/34,Event - Product View,Carica Papaya Extract 10:1 by TRG ||| 106864-TRG-11248
2023-12-06,27681654.1685374719,12082,1701877345,2023/12/06/07/43/58,Event - Product View,Papaya Powder by Shandong Lirun Health Technology ||| 108809-SHALIR-12649
