report_date,cookie_id,customer_id,ga_session_id,event_timestamp,event_name,event_value
2023-12-06,1884972372.1625530407,12082,1701888217,2023/12/06/10/53/14,Event - Site Search,avocado oil
2023-12-06,1884972372.1625530407,12082,1701888217,2023/12/06/11/18/32,Event - Site Search,guar gum
2023-12-06,1366693949.1691780059,12082,1701879012,2023/12/06/08/13/03,Event - Site Search,mcc
2023-12-06,1884972372.1625530407,12082,1701874227,2023/12/06/06/50/42,Event - Site Search,royal jelly pwder
2023-12-06,1884972372.1625530407,12082,1701874227,2023/12/06/06/50/55,Event - Site Search,r
2023-12-06,1884972372.1625530407,12082,1701874227,2023/12/06/06/51/11,Event - Site Search,royal jelly powder
2023-12-06,1884972372.1625530407,12082,1701874227,2023/12/06/06/51/53,Event - Site Search,red maca root
2023-12-06,1884972372.1625530407,12082,1701874227,2023/12/06/06/53/20,Event - Site Search,bee propolis
2023-12-06,1884972372.1625530407,12082,1701882982,2023/12/06/09/16/24,Event - Site Search,pea protein
2023-12-06,1884972372.1625530407,12082,1701888217,2023/12/06/10/43/39,Event - Site Search,MCT Oil Powder
2023-12-06,1884972372.1625530407,12082,1701888217,2023/12/06/11/28/42,Event - Site Search,soy protein
2023-12-06,1884972372.1625530407,12082,1701900357,2023/12/06/14/06/00,Event - Site Search,resveratrol
2023-12-06,1884972372.1625530407,12082,1701900357,2023/12/06/14/10/42,Event - Site Search,cane sugar
2023-12-06,1884972372.1625530407,12082,1701903883,2023/12/06/15/04/51,Event - Site Search,coconut creamer
2023-12-06,1884972372.1625530407,12082,1701903883,2023/12/06/15/12/51,Event - Site Search,coconut creamer
2023-12-06,27681654.1685374719,12082,1701877345,2023/12/06/07/42/59,Event - Site Search,organic papya
2023-12-06,27681654.1685374719,12082,1701877345,2023/12/06/07/43/19,Event - Site Search,organic papaya
